"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"176","Mesa County Valley School",NA,"62,581","72.7%","69.0%","12.7%","20.6%",34.5,"4.9%","13.2%","2.2%","25.6%","18.8%",NA,"40,228","18.5%","33.6%","31.1%","8.1%","6.2%","2.6%",NA,"154,178",NA,"81.8%","0.6%","1.0%","1.0%","0.1%","1.9%","13.6%","15.5%","78.5%","CO"
"177","Greeley School",NA,"45,201","81.3%","79.6%","11.0%","14.3%",24,"5.2%","16.0%","2.7%","19.1%","13.2%",NA,"30,868","12.5%","30.4%","34.7%","9.4%","8.9%","4.1%",NA,"128,191",NA,"65.3%","2.4%","1.0%","1.4%","0.0%","12.5%","17.4%","43.0%","51.0%","CO"
"178","Harrison School",NA,"27,568","85.9%","84.5%","11.5%","13.7%",23,"6.2%","21.7%","5.5%","15.4%","17.5%",NA,"18,026","10.6%","38.8%","30.8%","10.4%","4.7%","4.8%",NA,"71,286",NA,"51.9%","12.3%","2.3%","3.0%","0.4%","11.8%","18.2%","31.6%","45.4%","CO"
"179","Jefferson County School",NA,"243,512","80.3%","78.0%","12.3%","24.9%",26.4,"2.1%","7.1%","2.7%","25.2%","12.4%",NA,"152,621","14.4%","27.2%","39.7%","8.4%","8.3%","2.1%",NA,"586,795",NA,"79.3%","1.2%","0.7%","2.9%","0.1%","3.5%","12.4%","15.8%","75.4%","CO"
"180","Littleton School",NA,"42,209","76.6%","74.6%","11.9%","32.3%",34.2,"3.0%","5.1%","2.0%","27.8%","10.9%",NA,"26,505","17.0%","28.3%","37.3%","9.1%","7.5%","0.7%",NA,"97,932",NA,"85.9%","1.4%","0.5%","1.8%","0.0%","2.4%","7.9%","9.5%","82.8%","CO"
"181","St. Vrain Valley School District",NA,"78,225","81.5%","78.8%","14.2%","26.9%",25.1,"4.4%","8.7%","3.7%","25.3%","12.6%",NA,"49,930","12.1%","29.2%","39.7%","7.8%","7.9%","3.3%",NA,"198,071",NA,"76.2%","0.9%","0.9%","3.2%","0.1%","4.0%","14.6%","19.7%","72.2%","CO"
"182","Thompson School",NA,"56,792","71.5%","65.9%","11.7%","27.4%",34.6,"1.6%","7.9%","3.0%","29.1%","10.0%",NA,"36,273","23.1%","23.5%","37.6%","7.9%","6.0%","1.9%",NA,"128,203",NA,"84.8%","0.1%","1.2%","1.5%","0.0%","3.9%","8.5%","14.2%","80.2%","CO"
"183","Pueblo City School",NA,"48,258","68.0%","65.3%","7.8%","12.9%",35.5,"9.7%","25.4%","6.5%","24.5%","15.8%",NA,"27,748","18.9%","37.8%","24.2%","12.1%","4.5%","2.5%",NA,"113,633",NA,"67.3%","1.6%","2.5%","1.1%","0.0%","7.9%","19.6%","52.2%","41.7%","CO"
"184","Westminster Public",NA,"26,707","79.9%","77.6%","12.5%","21.9%",26.2,"3.1%","15.9%","4.7%","23.3%","11.6%",NA,"16,367","13.6%","30.8%","22.3%","16.7%","8.4%","8.2%",NA,"71,791",NA,"50.9%","1.5%","2.5%","2.2%","0.2%","12.8%","29.9%","52.1%","40.6%","CO"
"185","Bridgeport",NA,"57,732","75.6%","73.9%","8.3%","11.1%",32.8,"9.3%","28.3%","3.7%","20.5%","19.5%",NA,"34,312","13.4%","33.7%","20.4%","13.9%","10.7%","7.9%",NA,"148,345",NA,"21.6%","35.2%","0.8%","4.5%","0.0%","23.7%","14.3%","42.2%","17.6%","CT"
"186","Danbury",NA,"33,024","78.9%","76.2%","11.8%","20.9%",30.1,"2.8%","8.6%","0.8%","20.8%","14.4%",NA,"19,518","N","N","N","N","N","N",NA,"86,749",NA,"49.5%","6.6%","0.5%","6.8%","0.1%","18.8%","17.7%","30.3%","46.8%","CT"
"187","Hartford",NA,"45,491","72.9%","71.2%","5.9%","7.6%",27.2,"13.0%","34.8%","9.3%","13.9%","14.1%",NA,"27,371","14.0%","41.5%","15.0%","16.4%","7.9%","5.2%",NA,"120,593",NA,"23.5%","34.3%","0.3%","1.6%","0.0%","20.7%","19.6%","49.9%","14.1%","CT"
"188","New Britain",NA,"28,450","75.9%","73.5%","10.7%","15.0%",29.2,"6.1%","31.7%","3.9%","22.4%","15.8%",NA,"16,868","13.6%","32.9%","20.5%","17.4%","7.6%","7.9%",NA,"73,835",NA,"45.1%","13.4%","1.3%","1.9%","0.0%","16.6%","21.7%","43.6%","39.2%","CT"
"189","New Haven",NA,"56,373","73.9%","71.9%","8.9%","12.4%",23.7,"9.2%","27.7%","4.3%","15.8%","23.4%",NA,"27,817","17.1%","33.1%","26.3%","15.3%","5.5%","2.7%",NA,"135,076",NA,"31.7%","32.7%","0.5%","5.0%","0.0%","17.5%","12.6%","30.5%","28.8%","CT"
"190","Norwalk",NA,"36,847","81.2%","78.0%","11.3%","24.9%",26,"3.7%","13.4%","5.6%","19.9%","17.9%",NA,"22,037","10.4%","33.9%","28.1%","13.6%","9.9%","4.1%",NA,"91,203",NA,"51.8%","10.9%","0.5%","6.3%","0.0%","12.0%","18.5%","30.7%","50.0%","CT"
"191","Stamford",NA,"52,816","87.4%","83.9%","15.7%","20.7%",23.5,"2.8%","11.9%","2.9%","18.2%","18.8%",NA,"32,184","8.6%","32.3%","26.4%","12.9%","12.2%","7.6%",NA,"136,312",NA,"48.2%","14.2%","0.8%","8.2%","0.0%","10.4%","18.2%","28.0%","46.0%","CT"
"192","Waterbury",NA,"45,008","72.7%","69.1%","9.3%","14.8%",27.9,"10.5%","28.2%","5.4%","23.1%","16.5%",NA,"28,623","18.5%","37.9%","16.4%","11.1%","11.1%","5.0%",NA,"113,820",NA,"44.5%","17.3%","1.3%","3.5%","0.3%","12.6%","20.4%","37.7%","38.3%","CT"
"193","Appoquinimink",NA,"26,335","80.8%","80.1%","4.8%","24.8%",26.9,"4.0%","5.1%","1.1%","27.7%","17.1%",NA,"N","N","N","N","N","N","N",NA,"75,639",NA,"58.3%","27.4%","0.0%","5.7%","0.2%","1.7%","6.7%","6.3%","57.9%","DE"
"194","Cape Henlopen",NA,"31,927","55.5%","52.6%","8.2%","42.6%",51,"3.9%","7.3%","1.5%","50.7%","14.4%",NA,"22,521","N","N","N","N","N","N",NA,"69,575",NA,"87.1%","5.6%","0.1%","1.7%","0.0%","0.5%","5.0%","3.6%","85.9%","DE"
"195","Christina",NA,"65,102","77.6%","76.7%","7.2%","16.5%",28.7,"4.7%","11.9%","2.4%","25.9%","12.4%",NA,"36,215","13.4%","31.0%","25.1%","16.9%","9.8%","3.9%",NA,"172,852",NA,"52.1%","23.0%","0.3%","7.5%","0.0%","5.9%","11.1%","14.4%","49.8%","DE"
"196","Colonial",NA,"31,157","78.8%","76.6%","6.4%","17.5%",28.7,"5.4%","12.2%","2.6%","26.4%","11.7%",NA,"19,774","14.1%","30.1%","21.5%","17.5%","10.1%","6.7%",NA,"80,861",NA,"39.9%","39.2%","0.0%","5.1%","0.0%","7.3%","8.5%","13.0%","38.4%","DE"
"197","Indian River",NA,"39,888","63.0%","61.0%","9.0%","25.3%",49.1,"4.4%","9.4%","1.6%","44.1%","11.5%",NA,"27,193","30.4%","31.0%","20.9%","7.4%","6.7%","3.6%",NA,"95,959",NA,"75.6%","5.7%","0.5%","1.1%","0.2%","6.6%","10.2%","14.0%","74.1%","DE"
"198","Brandywine",NA,"38,210","73.9%","72.6%","7.6%","26.1%",37,"5.1%","8.7%","2.1%","30.3%","13.2%",NA,"23,439","18.4%","30.6%","34.5%","7.1%","8.1%","1.3%",NA,"92,957",NA,"64.0%","17.1%","0.0%","5.6%","0.0%","2.5%","10.8%","4.7%","63.3%","DE"
"199","Red Clay Consolidated",NA,"58,734","77.0%","75.5%","8.7%","22.7%",30.9,"5.9%","11.9%","2.8%","28.2%","10.6%",NA,"35,881","12.6%","33.3%","33.6%","9.8%","7.9%","2.8%",NA,"143,126",NA,"59.8%","17.4%","0.9%","4.6%","0.0%","6.1%","11.2%","12.6%","57.4%","DE"
"200","District of Columbia Public Schools,",NA,"319,565","80.7%","78.3%","9.7%","23.7%",19.1,"4.7%","16.2%","5.0%","16.1%","9.8%",NA,"128,733","14.5%","29.6%","37.9%","12.1%","3.8%","2.1%",NA,"670,050",NA,"37.9%","43.2%","0.2%","4.1%","0.0%","4.9%","9.6%","11.5%","36.4%",NA
"201","Alachua County",NA,"108,189","78.8%","76.8%","10.2%","19.4%",30.2,"4.0%","8.6%","2.1%","24.1%","8.5%",NA,"57,135","14.1%","36.0%","33.8%","7.8%","5.8%","2.5%",NA,"279,238",NA,"62.0%","19.4%","0.1%","5.9%","0.0%","2.6%","9.9%","11.0%","59.3%","FL"
"202","Bay County",NA,"79,532","79.5%","75.8%","12.1%","18.7%",30.8,"3.5%","14.0%","3.9%","26.2%","16.6%",NA,"52,636","15.0%","37.3%","30.3%","8.8%","6.4%","2.2%",NA,"179,168",NA,"76.4%","10.0%","1.2%","2.2%","0.3%","1.9%","8.0%","7.4%","74.2%","FL"
"203","Brevard County",NA,"254,314","69.4%","66.5%","10.1%","22.2%",41.2,"5.1%","11.4%","3.0%","32.4%","14.3%",NA,"160,661","21.9%","33.4%","26.7%","10.2%","5.9%","1.9%",NA,"616,628",NA,"72.9%","9.7%","0.2%","2.4%","0.0%","4.5%","10.2%","11.6%","70.5%","FL"
"204","Broward County",NA,"747,715","79.2%","76.4%","12.1%","15.9%",29.2,"3.9%","17.0%","2.7%","18.6%","11.9%",NA,"472,929","13.0%","31.1%","30.2%","12.4%","9.3%","4.0%",NA,"1,930,983",NA,"39.6%","28.4%","0.2%","3.6%","0.1%","5.5%","22.6%","32.0%","31.4%","FL"
"205","Charlotte County",NA,"88,988","54.5%","51.3%","8.3%","26.5%",58.6,"4.9%","11.0%","4.3%","43.8%","11.4%",NA,"58,658","37.4%","27.3%","17.4%","9.7%","5.9%","2.3%",NA,"194,843",NA,"83.6%","5.4%","0.2%","1.3%","0.1%","2.9%","6.5%","8.2%","81.7%","FL"
"206","Citrus County",NA,"68,269","46.8%","44.4%","6.1%","23.5%",59.7,"6.4%","12.9%","3.2%","40.5%","12.8%",NA,"41,217","46.0%","28.7%","14.8%","6.0%","3.3%","1.3%",NA,"158,083",NA,"89.2%","2.0%","0.3%","1.7%","0.0%","1.1%","5.8%","6.7%","85.9%","FL"
"207","Clay County",NA,"80,459","78.0%","75.9%","10.2%","19.3%",36.3,"4.1%","11.1%","2.0%","30.7%","16.1%",NA,"58,761","15.9%","29.0%","30.4%","12.8%","8.2%","3.7%",NA,"222,361",NA,"69.4%","8.9%","0.2%","3.8%","0.0%","5.3%","12.4%","11.1%","67.2%","FL"
"208","Collier County",NA,"163,943","62.6%","59.7%","11.9%","32.7%",46.1,"4.3%","8.6%","2.1%","36.1%","10.6%",NA,"111,791","30.1%","29.7%","21.8%","7.8%","6.9%","3.6%",NA,"385,980",NA,"64.2%","6.5%","0.2%","1.5%","0.1%","6.8%","20.6%","29.0%","60.6%","FL"
"209","Columbia County",NA,"27,545","72.9%","70.9%","9.3%","14.2%",37.2,"6.8%","20.2%","5.1%","27.6%","14.4%",NA,"18,322","19.5%","28.2%","32.3%","8.5%","7.9%","3.6%",NA,"70,385",NA,"69.6%","12.8%","0.5%","0.7%","0.1%","4.8%","11.4%","6.9%","69.1%","FL"
"210","Dade County",NA,"963,477","80.6%","76.5%","15.1%","11.9%",30.2,"7.2%","27.3%","5.2%","12.4%","10.3%",NA,"652,109","12.3%","34.4%","25.4%","14.2%","8.6%","5.1%",NA,"2,662,777",NA,"24.7%","15.0%","0.3%","1.6%","0.0%","8.6%","49.9%","69.1%","12.5%","FL"
"211","Duval County",NA,"406,301","79.9%","77.7%","8.3%","14.8%",26.7,"4.9%","17.2%","3.0%","21.8%","11.3%",NA,"244,994","14.0%","37.1%","28.6%","11.2%","6.6%","2.5%",NA,"999,935",NA,"51.5%","28.8%","0.3%","4.8%","0.1%","4.1%","10.4%","11.3%","49.4%","FL"
"212","Escambia County",NA,"126,980","75.2%","72.7%","10.3%","16.6%",34.6,"4.8%","19.0%","3.5%","26.6%","15.3%",NA,"79,747","18.9%","35.4%","26.1%","10.8%","6.2%","2.7%",NA,"322,390",NA,"64.0%","20.9%","0.1%","3.1%","0.0%","2.0%","9.7%","6.4%","62.1%","FL"
"213","Flagler County",NA,"48,187","60.3%","57.6%","7.9%","22.6%",52.3,"5.6%","8.3%","2.0%","40.2%","13.3%",NA,"35,108","36.1%","28.1%","22.3%","5.9%","5.3%","2.2%",NA,"120,932",NA,"75.5%","9.5%","0.1%","2.0%","0.0%","4.4%","8.6%","11.4%","73.3%","FL"
"214","Hernando County",NA,"81,497","64.6%","62.9%","9.0%","16.1%",47.8,"6.4%","16.6%","3.9%","34.3%","13.2%",NA,"56,044","26.2%","36.0%","21.2%","9.2%","4.0%","3.3%",NA,"200,638",NA,"74.7%","5.0%","0.4%","1.3%","0.0%","6.8%","11.9%","16.2%","72.3%","FL"
"215","Highlands County",NA,"46,166","54.7%","52.3%","8.2%","19.4%",56.4,"7.1%","16.9%","1.8%","37.6%","13.2%",NA,"30,514","39.0%","26.7%","15.8%","9.6%","5.5%","3.3%",NA,"103,296",NA,"69.6%","7.7%","1.5%","1.6%","0.1%","6.8%","12.6%","22.1%","63.6%","FL"
"216","Hillsborough County",NA,"578,259","79.5%","77.3%","10.0%","15.8%",27.4,"4.4%","15.4%","2.7%","20.1%","11.9%",NA,"362,079","14.9%","33.5%","29.7%","11.1%","7.9%","2.8%",NA,"1,478,194",NA,"50.6%","16.1%","0.4%","4.3%","0.1%","8.7%","19.7%","30.3%","45.1%","FL"
"217","Indian River County",NA,"69,974","58.4%","55.6%","7.9%","30.4%",52.2,"4.1%","12.8%","4.1%","40.2%","11.4%",NA,"43,105","33.9%","31.1%","19.7%","7.5%","7.1%","0.7%",NA,"163,662",NA,"74.4%","8.2%","0.1%","1.6%","0.0%","4.7%","10.9%","13.3%","72.3%","FL"
"218","Lake County",NA,"156,435","64.4%","61.2%","8.1%","19.1%",45.6,"6.1%","11.4%","2.5%","33.1%","14.8%",NA,"103,459","28.6%","30.8%","24.4%","8.6%","5.6%","1.9%",NA,"395,804",NA,"68.5%","10.4%","0.1%","1.6%","0.1%","2.9%","16.5%","17.9%","65.1%","FL"
"219","Lee County",NA,"320,466","64.6%","61.2%","10.3%","23.7%",45,"5.5%","11.4%","2.6%","31.7%","10.5%",NA,"210,028","29.3%","29.8%","24.9%","8.6%","5.5%","1.9%",NA,"787,976",NA,"68.1%","7.7%","0.1%","1.7%","0.0%","4.3%","17.9%","23.8%","63.5%","FL"
"220","Leon County",NA,"121,423","82.3%","79.5%","11.7%","18.6%",25.7,"4.5%","13.8%","2.7%","20.3%","11.6%",NA,"63,879","13.6%","34.6%","32.4%","10.6%","6.1%","2.8%",NA,"292,817",NA,"55.7%","29.9%","0.4%","3.2%","0.1%","2.0%","8.7%","7.0%","54.3%","FL"
"221","Manatee County",NA,"163,520","64.6%","61.6%","11.7%","29.0%",49,"3.3%","9.2%","1.9%","35.9%","11.2%",NA,"104,336","27.8%","29.4%","25.8%","7.7%","8.1%","1.3%",NA,"412,703",NA,"71.3%","8.3%","0.5%","2.2%","0.1%","5.7%","11.8%","17.1%","68.8%","FL"
"222","Marion County",NA,"157,348","62.6%","58.6%","9.6%","16.1%",49.3,"6.9%","15.5%","2.2%","36.2%","11.4%",NA,"105,689","28.1%","34.7%","20.6%","9.8%","5.4%","1.4%",NA,"385,915",NA,"71.1%","12.0%","0.1%","1.7%","0.0%","2.9%","12.2%","15.5%","67.2%","FL"
"223","Martin County",NA,"69,719","62.6%","59.2%","11.5%","29.8%",49.5,"3.4%","9.7%","2.4%","34.8%","11.6%",NA,"43,174","25.5%","33.9%","23.1%","11.6%","5.4%","0.5%",NA,"159,942",NA,"77.9%","5.3%","0.0%","1.3%","0.0%","3.3%","12.2%","14.6%","75.5%","FL"
"224","Monroe County",NA,"36,078","76.5%","68.3%","18.7%","34.5%",34.4,"4.0%","11.3%","2.6%","22.4%","12.6%",NA,"20,991","N","N","N","N","N","N",NA,"82,170",NA,"69.0%","7.2%","0.0%","1.3%","0.0%","3.8%","18.7%","25.7%","64.0%","FL"
"225","Nassau County",NA,"40,276","72.1%","69.6%","10.4%","23.5%",35.5,"4.9%","11.1%","1.2%","35.1%","13.1%",NA,"28,789","N","N","N","N","N","N",NA,"94,189",NA,"85.2%","3.6%","0.2%","1.5%","0.0%","2.2%","7.3%","5.2%","84.8%","FL"
"226","Okaloosa County",NA,"84,497","77.8%","75.5%","11.0%","19.8%",31,"5.5%","10.2%","1.4%","29.7%","20.2%",NA,"56,440","15.6%","29.0%","30.7%","10.3%","11.3%","3.0%",NA,"213,255",NA,"71.9%","8.9%","0.3%","3.6%","0.5%","3.7%","11.1%","10.2%","70.2%","FL"
"227","Orange County",NA,"512,496","82.8%","79.8%","10.9%","13.4%",24.2,"4.8%","19.2%","3.8%","17.7%","14.4%",NA,"343,602","13.6%","33.1%","29.5%","12.4%","8.4%","3.0%",NA,"1,422,746",NA,"41.7%","20.0%","0.3%","5.1%","0.1%","9.1%","23.7%","33.1%","36.6%","FL"
"228","Osceola County",NA,"133,330","82.0%","79.0%","12.0%","10.7%",30.7,"5.5%","22.0%","4.5%","19.8%","15.1%",NA,"101,132","14.7%","32.1%","27.0%","11.4%","11.3%","3.5%",NA,"403,282",NA,"35.1%","10.8%","0.2%","2.9%","0.0%","29.2%","21.8%","56.3%","27.3%","FL"
"229","Palm Beach County",NA,"595,447","70.9%","67.5%","12.5%","23.4%",39.9,"3.2%","13.5%","3.4%","25.9%","10.2%",NA,"372,327","19.6%","32.3%","26.4%","11.0%","7.4%","3.4%",NA,"1,497,987",NA,"53.9%","18.1%","0.4%","2.8%","0.0%","7.8%","16.9%","23.9%","50.8%","FL"
"230","Pasco County",NA,"230,060","67.7%","64.5%","10.6%","17.3%",40.9,"6.4%","14.1%","3.8%","29.6%","13.0%",NA,"145,759","22.1%","30.4%","26.2%","10.6%","7.7%","3.0%",NA,"584,067",NA,"73.1%","6.1%","0.4%","3.1%","0.0%","5.2%","12.0%","18.1%","69.2%","FL"
"231","Pinellas County",NA,"419,798","68.8%","65.2%","10.0%","21.3%",40.3,"4.1%","10.6%","2.9%","29.9%","10.8%",NA,"230,940","22.0%","32.2%","28.3%","8.7%","6.4%","2.3%",NA,"956,615",NA,"74.0%","10.0%","0.2%","3.6%","0.1%","2.3%","9.7%","10.6%","71.6%","FL"
"232","Polk County",NA,"276,469","71.2%","69.1%","6.9%","14.1%",39.6,"6.2%","15.8%","2.9%","24.0%","10.1%",NA,"187,281","21.9%","32.9%","24.2%","10.0%","7.1%","3.9%",NA,"753,520",NA,"55.6%","14.7%","0.4%","1.8%","0.1%","15.4%","12.2%","27.4%","52.8%","FL"
"233","Putnam County",NA,"29,765","52.3%","50.1%","6.0%","10.8%",50.3,"10.9%","29.8%","2.5%","28.5%","12.6%",NA,"17,520","N","N","N","N","N","N",NA,"74,167",NA,"69.9%","15.7%","0.4%","0.2%","0.0%","1.2%","12.6%","10.7%","68.9%","FL"
"234","Santa Rosa County",NA,"71,722","77.0%","75.0%","11.8%","22.4%",35.3,"2.9%","11.5%","3.0%","36.8%","18.2%",NA,"52,633","16.6%","29.6%","29.0%","13.4%","9.8%","1.6%",NA,"193,998",NA,"81.0%","5.5%","0.3%","1.9%","0.1%","2.4%","8.9%","6.4%","79.4%","FL"
"235","Sarasota County",NA,"204,018","59.5%","56.2%","10.8%","39.3%",52.6,"3.2%","7.1%","2.2%","39.3%","10.7%",NA,"122,891","33.7%","24.6%","25.3%","6.8%","6.9%","2.6%",NA,"447,057",NA,"81.9%","4.0%","0.2%","1.8%","0.1%","2.2%","9.8%","10.1%","80.4%","FL"
"236","Seminole County",NA,"188,239","80.5%","78.8%","10.3%","18.7%",28.5,"4.2%","12.7%","3.0%","22.0%","10.7%",NA,"126,359","13.3%","32.7%","29.7%","11.3%","9.5%","3.5%",NA,"470,093",NA,"60.1%","11.0%","0.3%","5.0%","0.0%","6.7%","16.9%","23.3%","56.0%","FL"
"237","St. Johns County",NA,"109,147","76.4%","73.7%","12.3%","30.3%",33,"3.5%","5.5%","1.7%","32.3%","13.5%",NA,"81,484","17.9%","35.3%","32.1%","5.9%","6.7%","2.1%",NA,"292,466",NA,"81.2%","4.6%","0.0%","3.8%","0.1%","1.3%","8.9%","8.3%","79.3%","FL"
"238","St. Lucie County",NA,"131,235","69.9%","66.9%","11.0%","14.9%",44.7,"5.8%","15.5%","3.3%","29.3%","11.9%",NA,"87,688","21.2%","34.4%","22.6%","11.7%","8.1%","2.0%",NA,"343,579",NA,"60.0%","20.6%","0.1%","2.2%","0.0%","4.6%","12.4%","21.1%","52.5%","FL"
"239","Sumter County",NA,"68,792","34.2%","32.0%","4.3%","38.2%",73,"4.9%","6.2%","1.3%","62.2%","12.2%",NA,"42,455","N","N","N","N","N","N",NA,"135,638",NA,"85.2%","4.8%","0.5%","1.1%","0.0%","2.6%","5.8%","6.2%","83.6%","FL"
"240","Volusia County",NA,"243,344","66.0%","62.7%","9.2%","17.0%",42.7,"5.5%","14.9%","2.5%","29.1%","13.4%",NA,"147,965","25.4%","34.3%","21.5%","9.1%","7.2%","2.4%",NA,"564,412",NA,"70.7%","10.8%","0.1%","1.9%","0.0%","9.4%","7.1%","16.1%","68.0%","FL"
"241","Walton County",NA,"33,941","74.7%","71.5%","16.1%","21.2%",37.4,"5.5%","8.1%","2.8%","34.8%","11.2%",NA,"22,256","N","N","N","N","N","N",NA,"80,069",NA,"84.8%","4.1%","0.2%","1.1%","0.0%","2.8%","7.0%","6.8%","81.7%","FL"
"242","Troup County",NA,"26,768","81.5%","80.0%","9.9%","11.7%",29.3,"6.3%","12.3%","0.2%","20.2%","11.3%",NA,"18,130","N","N","N","N","N","N",NA,"69,720",NA,"55.5%","35.9%","0.2%","2.0%","0.0%","1.7%","4.7%","4.0%","55.0%","GA"
"243","Atlanta City",NA,"232,093","82.1%","79.0%","12.5%","19.7%",20.7,"5.8%","15.2%","2.8%","16.1%","11.1%",NA,"94,167","12.1%","39.8%","31.6%","9.8%","4.4%","2.3%",NA,"492,386",NA,"40.0%","44.5%","0.4%","5.3%","0.1%","2.0%","7.7%","5.9%","38.9%","GA"
"244","Barrow County",NA,"30,194","83.4%","81.9%","7.8%","15.7%",29.4,"5.5%","12.7%","2.8%","23.3%","13.7%",NA,"22,667","12.0%","36.3%","24.7%","14.4%","8.0%","4.6%",NA,"86,658",NA,"67.5%","13.7%","0.7%","4.2%","0.0%","6.3%","7.7%","14.1%","64.6%","GA"
"245","Bartow County",NA,"29,785","78.2%","75.7%","9.1%","11.3%",27.8,"5.6%","10.6%","1.2%","20.3%","11.3%",NA,"21,843","N","N","N","N","N","N",NA,"86,367",NA,"75.7%","11.8%","0.9%","1.4%","0.7%","1.7%","7.8%","10.9%","74.2%","GA"
"246","Bibb County",NA,"57,677","73.5%","71.4%","8.7%","13.4%",32.3,"6.5%","23.3%","2.3%","25.9%","11.6%",NA,"34,072","19.4%","37.3%","27.1%","9.3%","4.0%","2.9%",NA,"156,762",NA,"36.0%","55.2%","0.2%","2.4%","0.0%","2.7%","3.6%","3.9%","35.2%","GA"
"247","Bulloch County",NA,"29,318","80.3%","79.5%","13.5%","16.9%",25.3,"5.0%","17.6%","0.3%","23.1%","35.4%",NA,"16,346","N","N","N","N","N","N",NA,"82,442",NA,"62.4%","27.6%","0.3%","1.5%","0.1%","1.1%","7.2%","4.5%","61.4%","GA"
"248","Carroll County",NA,"32,956","82.6%","78.8%","8.6%","11.8%",31.6,"7.8%","15.7%","1.6%","22.5%","11.9%",NA,"24,373","10.3%","41.5%","24.5%","12.7%","10.8%","0.2%",NA,"94,480",NA,"73.8%","12.9%","0.1%","0.4%","0.0%","4.9%","7.9%","6.3%","70.7%","GA"
"249","Catoosa County",NA,"26,864","80.3%","77.8%","11.5%","10.6%",34,"2.7%","11.8%","2.6%","19.9%","11.4%",NA,"19,791","15.6%","31.1%","32.7%","8.7%","8.3%","3.7%",NA,"68,397",NA,"88.4%","1.5%","0.1%","1.7%","0.2%","1.3%","6.9%","3.6%","88.4%","GA"
"250","Chatham County",NA,"121,028","77.9%","75.4%","9.7%","14.8%",33.2,"5.6%","15.4%","2.8%","22.6%","17.9%",NA,"76,938","17.0%","32.7%","28.4%","12.2%","6.9%","2.7%",NA,"296,329",NA,"47.5%","40.4%","0.2%","2.4%","0.0%","1.1%","8.5%","6.8%","46.8%","GA"
"251","Cherokee County",NA,"100,023","82.7%","79.1%","15.0%","21.5%",28.9,"2.3%","6.8%","2.2%","25.8%","13.5%",NA,"74,871","11.4%","29.3%","38.6%","7.9%","11.1%","1.6%",NA,"274,615",NA,"77.7%","6.0%","2.0%","1.9%","0.0%","3.4%","9.0%","11.3%","75.4%","GA"
"252","Clarke County",NA,"55,332","83.1%","81.5%","11.0%","14.9%",21.4,"4.1%","9.1%","2.6%","17.3%","12.0%",NA,"25,861","13.5%","31.4%","35.5%","9.2%","6.6%","3.8%",NA,"128,711",NA,"55.6%","24.6%","0.5%","3.9%","0.0%","6.1%","9.3%","11.2%","54.6%","GA"
"253","Clayton County",NA,"106,249","81.5%","78.3%","10.1%","7.3%",24.1,"4.8%","20.0%","3.0%","19.4%","14.9%",NA,"74,103","12.8%","39.4%","19.8%","15.6%","5.5%","6.9%",NA,"297,100",NA,"9.8%","70.1%","0.2%","4.9%","0.3%","5.7%","9.1%","13.5%","8.3%","GA"
"254","Cobb County",NA,"265,385","85.7%","82.8%","12.9%","19.8%",21.6,"2.7%","8.2%","2.4%","19.9%","12.5%",NA,"179,977","10.4%","29.1%","36.8%","12.2%","8.4%","3.1%",NA,"705,311",NA,"49.8%","26.4%","0.5%","5.7%","0.1%","6.5%","11.0%","13.2%","48.6%","GA"
